,,loss,acc,val_loss,val_acc
Linear2,1,2.112826347351074,0.6156116127967834,0.660717248916626,0.745708167552948
Linear2,2,0.6462125778198242,0.7365880012512207,0.5541914105415344,0.7768240571022034
Linear2,3,0.4986299574375152,0.7990880012512207,0.5116453170776367,0.807939887046814
Linear2,4,0.4228088855743408,0.8288626670837402,0.4813285171985626,0.8025751113891602
Linear2,5,0.3623653054237366,0.850321888923645,0.5032475590705872,0.7929184436798096
Linear2,6,0.3147485852241516,0.870708167552948,0.5207646489143372,0.790772557258606
Linear2,7,0.2940980494022369,0.8806330561637878,0.5241594910621643,0.7939913868904114
Linear2,8,0.2629973590373993,0.8916308879852295,0.6093944311141968,0.7778970003128052
Linear2,9,0.2206955552101135,0.906920611858368,0.499965637922287,0.8175965547561646
Linear2,10,0.1973088681697845,0.9208691120147704,0.5950270891189575,0.807939887046814
Linear2,11,0.16826131939888,0.9321351647377014,0.6083157062530518,0.7821888327598572
Linear2,12,0.1516709923744201,0.9393776655197144,0.5273746848106384,0.8304721117019653
Linear2,13,0.1468658745288849,0.9401823878288268,0.5157403349876404,0.832617998123169
Linear2,14,0.1468811780214309,0.942060112953186,0.61268550157547,0.8186695575714111
Linear2,15,0.137108638882637,0.9484978318214417,0.6987398266792297,0.7918455004692078
Linear2,16,0.1295771449804306,0.9514485001564026,0.6035803556442261,0.7929184436798096
Linear2,17,0.0941927805542945,0.965128779411316,0.6666843891143799,0.8175965547561646
Linear2,18,0.0949906930327415,0.9613733887672424,0.6870508790016174,0.8208154439926147
Linear2,19,0.0876613333821296,0.968347668647766,0.7971363663673401,0.7875536680221558
Linear2,20,0.077894777059555,0.9729077219963074,0.7232850193977356,0.8208154439926147
Linear3,1,4.419273853302002,0.633851945400238,0.8211399912834167,0.70064377784729
Linear3,2,0.5484945178031921,0.7722639441490173,0.6628305315971375,0.7553648352622986
Linear3,3,0.4534613490104675,0.8205472230911255,0.7168864011764526,0.729613721370697
Linear3,4,0.3409168720245361,0.8586373329162598,0.6048598885536194,0.7596566677093506
Linear3,5,0.2781364917755127,0.8822425007820129,0.5633710622787476,0.8015021681785583
Linear3,6,0.2340031266212463,0.9047746658325196,0.5241451263427734,0.8068669438362122
Linear3,7,0.1982524991035461,0.9246244430541992,0.534267246723175,0.790772557258606
Linear3,8,0.1692445874214172,0.9310622215270996,0.5619529485702515,0.8057940006256104
Linear3,9,0.1597506403923034,0.9377682209014891,0.60227370262146,0.7875536680221558
Linear3,10,0.1376514136791229,0.9450107216835022,0.5495996475219727,0.7972102761268616
Linear3,11,0.0813025683164596,0.9675429463386536,0.6292550563812256,0.7982832789421082
Linear3,12,0.0965213775634765,0.9662017226219176,0.5892149806022644,0.8197425007820129
Linear3,13,0.1046736016869545,0.9662017226219176,0.7007986307144165,0.766094446182251
Linear3,14,0.1230620518326759,0.9538626670837402,0.6447408199310303,0.8175965547561646
Linear3,15,0.0699866414070129,0.97371244430542,0.762046217918396,0.774678111076355
Linear3,16,0.0810429379343986,0.969152331352234,0.8823741674423218,0.7403433322906494
Linear3,17,0.0838317051529884,0.9702253341674804,0.850357711315155,0.7864806652069092
Linear3,18,0.0624742396175861,0.9761266112327576,0.6403966546058655,0.8111587762832642
Linear3,19,0.0700867623090744,0.9755901098251344,0.6991842985153198,0.8186695575714111
Linear3,20,0.0288634747266769,0.9890021681785583,0.7253791093826294,0.8251072764396667
Linear1,1,2.651492118835449,0.6596029996871948,0.5873547196388245,0.7639485001564026
Linear1,2,0.5517280697822571,0.778969943523407,0.5001835823059082,0.807939887046814
Linear1,3,0.4169443249702453,0.8323497772216797,0.4429968297481537,0.8122317790985107
Linear1,4,0.3454074263572693,0.8597102761268616,0.4513887465000152,0.8240343332290649
Linear1,5,0.2953538596630096,0.8819742202758789,0.537624716758728,0.7864806652069092
Linear1,6,0.2559762895107269,0.8980686664581299,0.4635050892829895,0.8218883872032166
Linear1,7,0.2273855507373809,0.9037017226219176,0.4431612193584442,0.8251072764396667
Linear1,8,0.1900145560503006,0.9211373329162598,0.5413126945495605,0.8304721117019653
Linear1,9,0.1836139112710952,0.928916335105896,0.5182597637176514,0.8304721117019653
Linear1,10,0.1417540460824966,0.9423283338546752,0.7290974259376526,0.7961373329162598
Linear1,11,0.1250213533639907,0.9487661123275756,0.7195996046066284,0.7982832789421082
Linear1,12,0.1033493727445602,0.9608368873596193,0.5846742987632751,0.8208154439926147
Linear1,13,0.1128438264131546,0.957617998123169,0.7478705644607544,0.8208154439926147
Linear1,14,0.1061985343694686,0.96056866645813,0.6963475346565247,0.8444206118583679
Linear1,15,0.0915831550955772,0.9662017226219176,0.8653366565704346,0.790772557258606
Linear1,16,0.0828499868512153,0.971030056476593,0.8195397257804871,0.8240343332290649
Linear1,17,0.0755334347486496,0.972371220588684,0.6976796984672546,0.8261802792549133
Linear1,18,0.0613336004316806,0.9801502227783204,0.8791357278823853,0.8218883872032166
Linear1,19,0.0644040033221244,0.9758583903312684,0.9071693420410156,0.79935622215271
Linear1,20,0.0545657239854335,0.9852467775344848,0.9403461813926696,0.8186695575714111
VGG16,11,0.1386288553476333,0.9468883872032166,0.3438577055931091,0.8841201663017273
VGG16,12,0.1173561513423919,0.9533261656761168,0.3867953419685364,0.8723176121711731
VGG16,13,0.0963779762387275,0.9624463319778442,0.4019204080104828,0.8658798336982727
VGG16,14,0.0726382508873939,0.972639501094818,0.4320604801177978,0.8819742202758789
VGG16,15,0.0713027641177177,0.971030056476593,0.4336096048355102,0.8776823878288269
VGG16,16,0.080730490386486,0.9662017226219176,0.482406884431839,0.8701716661453247
VGG16,17,0.0854995548725128,0.968079388141632,0.3884279727935791,0.8830472230911255
VGG16,18,0.0599261820316314,0.9777360558509828,0.559428334236145,0.8594420552253723
VGG16,19,0.0521125346422195,0.982564389705658,0.5044723749160767,0.8851931095123291
VGG16,20,0.0844188258051872,0.9678111672401428,0.4922075271606445,0.8712446093559265
VGG16,1,0.6394162774085999,0.7449034452438354,0.4682002365589142,0.8186695575714111
VGG16,2,0.403388649225235,0.828594446182251,0.3444083929061889,0.8701716661453247
VGG16,3,0.338234543800354,0.8615880012512207,0.3901732563972473,0.8465664982795715
VGG16,4,0.2907790243625641,0.8787553906440735,0.3531228899955749,0.8637338876724243
VGG16,5,0.2387183308601379,0.9074570536613464,0.3058851063251495,0.8851931095123291
VGG16,6,0.2399856001138687,0.9037017226219176,0.3077560663223266,0.8862661123275757
VGG16,7,0.1916721016168594,0.923014998435974,0.3820265531539917,0.8562231659889221
VGG16,8,0.1801487058401107,0.9278433322906494,0.3109301030635834,0.8937768340110779
VGG16,9,0.1715860068798065,0.9356223344802856,0.6421773433685303,0.7918455004692078
VGG16,10,0.1689436733722686,0.928648054599762,0.4434643387794494,0.8658798336982727
ResNet101,1,0.4699346423149109,0.79935622215271,0.2734673619270324,0.909871220588684
ResNet101,2,0.3141420185565948,0.8645386099815369,0.2513421475887298,0.906652331352234
ResNet101,3,0.2268704026937484,0.902360498905182,0.2337813079357147,0.905579388141632
ResNet101,4,0.2033992111682891,0.9184549450874328,0.2557969987392425,0.8905579447746277
ResNet101,5,0.1947438269853592,0.915772557258606,0.211654931306839,0.9184549450874328
ResNet101,6,0.1594395339488983,0.9324034452438354,0.2485895007848739,0.9002146124839783
ResNet101,7,0.1494871973991394,0.9393776655197144,0.256836861371994,0.90128755569458
ResNet101,8,0.1382242739200592,0.9436695575714112,0.2529531419277191,0.906652331352234
ResNet101,9,0.1518961042165756,0.9348176121711732,0.3035096228122711,0.8969957232475281
ResNet101,10,0.1414864212274551,0.9380365014076232,0.2450966089963913,0.9077253341674804
ResNet101,11,0.1262230277061462,0.9436695575714112,0.2918983101844787,0.8873390555381775
ResNet101,12,0.1225135698914527,0.9482296109199524,0.229883387684822,0.9195278882980348
ResNet101,13,0.1104499772191047,0.9570815563201904,0.2513637840747833,0.9087982773780824
ResNet101,14,0.0982062518596649,0.9586910009384156,0.2660105228424072,0.906652331352234
ResNet101,15,0.1019358709454536,0.957886278629303,0.2231117039918899,0.9163089990615844
ResNet101,16,0.0743278935551643,0.9715664982795716,0.341813713312149,0.905579388141632
ResNet101,17,0.074125587940216,0.9712982773780824,0.4222390055656433,0.8744634985923767
ResNet101,18,0.0855818837881088,0.9672746658325196,0.3618294596672058,0.8798283338546753
ResNet101,19,0.0684572383761406,0.972371220588684,0.2727074325084686,0.9141631126403807
ResNet101,20,0.050060786306858,0.9804184436798096,0.3088114857673645,0.9109442234039308
Xception,1,0.5956184267997742,0.7432940006256104,0.5056459307670593,0.7918455004692078
Xception,2,0.4253354072570801,0.8237661123275757,0.4143025577068329,0.832617998123169
Xception,3,0.3853108882904053,0.8473712205886841,0.3854781687259674,0.8422746658325195
Xception,4,0.3208655416965484,0.8717811107635498,0.3682758808135986,0.8454935550689697
Xception,5,0.2830565273761749,0.8822425007820129,0.3722222149372101,0.8605149984359741
Xception,6,0.2627546191215515,0.8927038908004761,0.370553582906723,0.8594420552253723
Xception,7,0.2225772440433502,0.9122853875160216,0.3616057932376861,0.8626609444618225
Xception,8,0.2074635773897171,0.9149678349494934,0.3458302319049835,0.8733905553817749
Xception,9,0.187508076429367,0.9232832789421082,0.4033954739570617,0.8454935550689697
Xception,10,0.1792266815900802,0.9283798336982728,0.4123954176902771,0.8551502227783203
Xception,11,0.1525900810956955,0.9404506683349608,0.4489659965038299,0.8508583903312683
Xception,12,0.131656140089035,0.9466201663017272,0.4926075935363769,0.8369098901748657
Xception,13,0.1279901564121246,0.9493025541305542,0.4338953197002411,0.8583691120147705
Xception,14,0.1350721716880798,0.9479613900184632,0.4944411814212799,0.8422746658325195
Xception,15,0.0979226380586624,0.96378755569458,0.5243227481842041,0.8444206118583679
Xception,16,0.0864847153425216,0.9656652212142944,0.4839936196804046,0.8562231659889221
Xception,17,0.0585335157811641,0.9820278882980348,0.5287514925003052,0.8530042767524719
Xception,18,0.0698395892977714,0.9742489457130432,0.6084855794906616,0.8422746658325195
Xception,19,0.0577745251357555,0.979882001876831,0.5035726428031921,0.8583691120147705
Xception,20,0.0893277823925018,0.9662017226219176,0.5643166303634644,0.8401287794113159
InceptionV3,1,0.6930000185966492,0.6944742202758789,0.5142481923103333,0.795064389705658
InceptionV3,2,0.4720954000949859,0.8041845560073853,0.4528477787971496,0.8208154439926147
InceptionV3,3,0.4132781028747558,0.8302038908004761,0.5455548763275146,0.795064389705658
InceptionV3,4,0.3802682757377624,0.8476395010948181,0.4703076183795929,0.8197425007820129
InceptionV3,5,0.3385722935199737,0.8658798336982727,0.3722151219844818,0.8497853875160217
InceptionV3,6,0.3409689366817474,0.8567596673965454,0.3707168102264404,0.8690987229347229
InceptionV3,7,0.2861639261245727,0.8918991684913635,0.4940803647041321,0.8143776655197144
InceptionV3,8,0.2757817208766937,0.8854613900184631,0.4677452445030212,0.8154506683349609
InceptionV3,9,0.2970946729183197,0.8774141669273376,0.4593868851661682,0.8143776655197144
InceptionV3,10,0.2827320396900177,0.8865343332290649,0.7717588543891907,0.7070815563201904
InceptionV3,11,0.2508086264133453,0.90128755569458,0.4874188303947449,0.8229613900184631
InceptionV3,12,0.2343244403600692,0.905847668647766,0.3909172415733337,0.8594420552253723
InceptionV3,13,0.2055103480815887,0.9165772795677184,0.6028181910514832,0.8165236115455627
InceptionV3,14,0.2007369697093963,0.9206008315086364,0.421586811542511,0.8583691120147705
InceptionV3,15,0.1895377188920974,0.9219420552253724,0.5710510015487671,0.8100858330726624
InceptionV3,16,0.1716955155134201,0.9326716661453248,0.4809328913688659,0.8422746658325195
InceptionV3,17,0.1779966056346893,0.9281116127967834,0.8004268407821655,0.774678111076355
InceptionV3,18,0.1665854156017303,0.9342811107635498,0.5713672637939453,0.832617998123169
InceptionV3,19,0.1600533127784729,0.9313304424285888,0.4999040961265564,0.8583691120147705
InceptionV3,20,0.144772931933403,0.9458154439926147,0.4732716083526611,0.8283261656761169
